id,snapshot_time,game_id,home_team,away_team,commence_time,bookmaker,market,outcome,odds,point,created_at
51183,56:27.0,fe512a3562d539fe9b3ceca852c86198,Philadelphia Phillies,Boston Red Sox,06:00.0,DraftKings,h2h,Boston Red Sox,2.28,NULL,56:28.1
51184,56:27.0,fe512a3562d539fe9b3ceca852c86198,Philadelphia Phillies,Boston Red Sox,06:00.0,DraftKings,h2h,Philadelphia Phillies,1.64,NULL,56:28.1
51185,56:27.0,fe512a3562d539fe9b3ceca852c86198,Philadelphia Phillies,Boston Red Sox,06:00.0,DraftKings,totals,Over,1.81,8.5,56:28.1
51186,56:27.0,fe512a3562d539fe9b3ceca852c86198,Philadelphia Phillies,Boston Red Sox,06:00.0,DraftKings,totals,Under,2.01,8.5,56:28.1
51179,56:27.0,6295b31fa1e2d7c3a1523228f6ec71fa,Cleveland Guardians,Baltimore Orioles,41:00.0,DraftKings,h2h,Baltimore Orioles,2.09,NULL,56:28.1
51180,56:27.0,6295b31fa1e2d7c3a1523228f6ec71fa,Cleveland Guardians,Baltimore Orioles,41:00.0,DraftKings,h2h,Cleveland Guardians,1.76,NULL,56:28.1
51181,56:27.0,6295b31fa1e2d7c3a1523228f6ec71fa,Cleveland Guardians,Baltimore Orioles,41:00.0,DraftKings,totals,Over,1.89,8.5,56:28.1
51182,56:27.0,6295b31fa1e2d7c3a1523228f6ec71fa,Cleveland Guardians,Baltimore Orioles,41:00.0,DraftKings,totals,Under,1.93,8.5,56:28.1
51175,56:27.0,9c6ca488213c81da881bbe1dd86fcfa9,Los Angeles Dodgers,Minnesota Twins,11:00.0,DraftKings,h2h,Los Angeles Dodgers,1.41,NULL,56:28.1
51176,56:27.0,9c6ca488213c81da881bbe1dd86fcfa9,Los Angeles Dodgers,Minnesota Twins,11:00.0,DraftKings,h2h,Minnesota Twins,2.95,NULL,56:28.1
51177,56:27.0,9c6ca488213c81da881bbe1dd86fcfa9,Los Angeles Dodgers,Minnesota Twins,11:00.0,DraftKings,totals,Over,1.81,8.5,56:28.1
51178,56:27.0,9c6ca488213c81da881bbe1dd86fcfa9,Los Angeles Dodgers,Minnesota Twins,11:00.0,DraftKings,totals,Under,2.01,8.5,56:28.1
51167,56:27.0,52e16b215444369fa88e8e8c99b28cab,Arizona Diamondbacks,Houston Astros,41:00.0,DraftKings,h2h,Arizona Diamondbacks,1.79,NULL,56:28.1
51168,56:27.0,52e16b215444369fa88e8e8c99b28cab,Arizona Diamondbacks,Houston Astros,41:00.0,DraftKings,h2h,Houston Astros,2.04,NULL,56:28.1
51169,56:27.0,52e16b215444369fa88e8e8c99b28cab,Arizona Diamondbacks,Houston Astros,41:00.0,DraftKings,totals,Over,1.91,8.5,56:28.1
51170,56:27.0,52e16b215444369fa88e8e8c99b28cab,Arizona Diamondbacks,Houston Astros,41:00.0,DraftKings,totals,Under,1.91,8.5,56:28.1
51171,56:27.0,c3ea6563b58283cc8b9cdd8d9e82be04,Seattle Mariners,Milwaukee Brewers,41:00.0,DraftKings,h2h,Milwaukee Brewers,2.08,NULL,56:28.1
51172,56:27.0,c3ea6563b58283cc8b9cdd8d9e82be04,Seattle Mariners,Milwaukee Brewers,41:00.0,DraftKings,h2h,Seattle Mariners,1.76,NULL,56:28.1
51173,56:27.0,c3ea6563b58283cc8b9cdd8d9e82be04,Seattle Mariners,Milwaukee Brewers,41:00.0,DraftKings,totals,Over,1.89,7.5,56:28.1
51174,56:27.0,c3ea6563b58283cc8b9cdd8d9e82be04,Seattle Mariners,Milwaukee Brewers,41:00.0,DraftKings,totals,Under,1.93,7.5,56:28.1
51163,56:27.0,1823bfb8bc81961c3617666e22acab94,Colorado Rockies,St. Louis Cardinals,11:00.0,DraftKings,h2h,Colorado Rockies,2.55,NULL,56:28.1
51164,56:27.0,1823bfb8bc81961c3617666e22acab94,Colorado Rockies,St. Louis Cardinals,11:00.0,DraftKings,h2h,St. Louis Cardinals,1.52,NULL,56:28.1
51165,56:27.0,1823bfb8bc81961c3617666e22acab94,Colorado Rockies,St. Louis Cardinals,11:00.0,DraftKings,totals,Over,1.88,11,56:28.1
51166,56:27.0,1823bfb8bc81961c3617666e22acab94,Colorado Rockies,St. Louis Cardinals,11:00.0,DraftKings,totals,Under,1.93,11,56:28.1
